"Timestamp","CPU cores","CPU capacity provisioned [MHZ]","CPU usage [MHZ]","CPU usage [%]","Memory capacity provisioned [KB]","Memory usage [KB]","Memory usage [%]","Disk read throughput [KB/s]","Disk write throughput [KB/s]","Disk size [GB]","Network received throughput [KB/s]","Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00","4","0","218","2,27","10485760","452985","4,32","0","7","350","2","2"
"05.11.2015 00:05:00","4","0","255","2,66","10485760","572522","5,46","25","22","350","14","14"
"05.11.2015 00:10:00","4","0","317","3,3","10485760","886047","8,45","8","36","350","7","6"
"05.11.2015 00:15:00","4","0","220","2,29","10485760","634388","6,05","0","13","350","3","2"
"05.11.2015 00:20:00","4","0","383","4","10485760","593494","5,66","0","22","350","85","91"
"05.11.2015 00:25:00","4","0","225","2,34","10485760","494928","4,72","0","15","350","3","2"
"05.11.2015 00:30:00","4","0","222","2,31","10485760","508559","4,85","0","14","350","3","2"
"05.11.2015 00:35:00","4","0","224","2,33","10485760","628097","5,99","155","14","350","3","2"
"05.11.2015 00:40:00","4","0","230","2,4","10485760","620757","5,92","0","14","350","8","8"
"05.11.2015 00:45:00","4","0","222","2,32","10485760","439353","4,19","0","13","350","3","2"
"05.11.2015 00:50:00","4","0","382","3,99","10485760","473956","4,52","0","22","350","85","91"
"05.11.2015 00:55:00","4","0","219","2,28","10485760","487588","4,65","0","14","350","3","2"
"05.11.2015 01:00:00","4","0","219","2,28","10485760","376439","3,59","0","14","350","3","2"
"05.11.2015 01:05:00","4","0","229","2,39","10485760","662700","6,32","285","24","350","3","2"
"05.11.2015 01:10:00","4","0","244","2,54","10485760","551551","5,26","1","47","350","15","16"
"05.11.2015 01:15:00","4","0","215","2,24","10485760","298844","2,85","0","14","350","3","2"
"05.11.2015 01:20:00","4","0","383","4","10485760","550502","5,25","3","22","350","88","96"
"05.11.2015 01:25:00","4","0","512","5,33","10485760","1074790","10,25","1078","84","350","8","136"
"05.11.2015 01:30:00","4","0","245","2,55","10485760","984613","9,39","2","16","350","4","5"
"05.11.2015 01:35:00","4","0","246","2,57","10485760","502268","4,79","0","14","350","3","2"
"05.11.2015 01:40:00","4","0","251","2,62","10485760","460325","4,39","0","14","350","15","16"
"05.11.2015 01:45:00","4","0","227","2,37","10485760","439353","4,19","67","13","350","3","2"
"05.11.2015 01:50:00","4","0","274","2,85","10485760","481296","4,59","0","16","350","31","32"
"05.11.2015 01:55:00","4","0","330","3,45","10485760","628097","5,99","0","19","350","57","61"
"05.11.2015 02:00:00","4","0","222","2,32","10485760","446693","4,26","0","14","350","3","2"
"05.11.2015 02:05:00","4","0","242","2,52","10485760","788529","7,52","3","63","350","3","2"
"05.11.2015 02:10:00","4","0","240","2,5","10485760","439353","4,19","0","15","350","15","16"
"05.11.2015 02:15:00","4","0","216","2,25","10485760","327156","3,12","0","14","350","3","2"
"05.11.2015 02:20:00","4","0","216","2,25","10485760","466616","4,45","0","14","350","3","2"
"05.11.2015 02:25:00","4","0","382","3,98","10485760","502268","4,79","0","24","350","86","91"
"05.11.2015 02:30:00","4","0","219","2,28","10485760","502268","4,79","0","14","350","3","2"
"05.11.2015 02:35:00","4","0","239","2,49","10485760","418382","3,99","0","14","350","3","2"
"05.11.2015 02:40:00","4","0","254","2,65","10485760","397410","3,79","1","15","350","15","16"
"05.11.2015 02:45:00","4","0","245","2,55","10485760","481296","4,59","0","14","350","3","2"
"05.11.2015 02:50:00","4","0","251","2,62","10485760","460325","4,39","1","19","350","10","9"
"05.11.2015 02:55:00","4","0","417","4,34","10485760","397410","3,79","0","23","350","85","91"
"05.11.2015 03:00:00","4","0","238","2,49","10485760","376439","3,59","0","14","350","3","2"
"05.11.2015 03:05:00","4","0","250","2,6","10485760","628097","5,99","9","14","350","3","2"
"05.11.2015 03:10:00","4","0","260","2,71","10485760","523239","4,99","0","15","350","15","16"
"05.11.2015 03:15:00","4","0","239","2,49","10485760","327156","3,12","0","14","350","3","2"
"05.11.2015 03:20:00","4","0","244","2,54","10485760","439353","4,19","0","14","350","3","2"
"05.11.2015 03:25:00","4","0","429","4,47","10485760","530579","5,06","0","23","350","86","91"
"05.11.2015 03:30:00","4","0","253","2,63","10485760","641728","6,12","0","14","350","3","2"
"05.11.2015 03:35:00","4","0","234","2,44","10485760","641728","6,12","0","14","350","3","2"
"05.11.2015 03:40:00","4","0","242","2,52","10485760","403702","3,85","0","15","350","15","16"
"05.11.2015 03:45:00","4","0","215","2,25","10485760","376439","3,59","0","13","350","3","2"
"05.11.2015 03:50:00","4","0","218","2,27","10485760","578814","5,52","0","13","350","3","2"
"05.11.2015 03:55:00","4","0","287","2,99","10485760","473956","4,52","0","17","350","37","39"
"05.11.2015 04:00:00","4","0","323","3,37","10485760","607126","5,79","0","18","350","51","54"
"05.11.2015 04:05:00","4","0","219","2,29","10485760","676332","6,45","4","18","350","3","2"
"05.11.2015 04:10:00","4","0","242","2,52","10485760","439353","4,19","0","15","350","15","16"
"05.11.2015 04:15:00","4","0","220","2,29","10485760","369099","3,52","0","14","350","3","2"
"05.11.2015 04:20:00","4","0","219","2,28","10485760","403702","3,85","0","14","350","3","2"
"05.11.2015 04:25:00","4","0","225","2,34","10485760","487588","4,65","1","58","350","4","2"
"05.11.2015 04:30:00","4","0","387","4,04","10485760","635437","6,06","0","21","350","85","91"
"05.11.2015 04:35:00","4","0","220","2,29","10485760","732955","6,99","0","13","350","3","2"
"05.11.2015 04:40:00","4","0","240","2,5","10485760","809501","7,72","1","15","350","15","16"
"05.11.2015 04:45:00","4","0","221","2,3","10485760","725615","6,92","0","14","350","3","2"
"05.11.2015 04:50:00","4","0","217","2,26","10485760","494928","4,72","0","13","350","3","2"
"05.11.2015 04:55:00","4","0","215","2,25","10485760","481296","4,59","0","14","350","3","2"
"05.11.2015 05:00:00","4","0","400","4,16","10485760","629146","6","0","21","350","85","91"
"05.11.2015 05:05:00","4","0","228","2,38","10485760","439353","4,19","0","14","350","3","2"
"05.11.2015 05:10:00","4","0","244","2,54","10485760","390070","3,72","0","15","350","15","16"
"05.11.2015 05:15:00","4","0","221","2,3","10485760","544211","5,19","0","14","350","3","2"
"05.11.2015 05:20:00","4","0","218","2,28","10485760","418382","3,99","0","14","350","3","2"
"05.11.2015 05:25:00","4","0","220","2,29","10485760","544211","5,19","0","15","350","3","2"
"05.11.2015 05:30:00","4","0","383","3,99","10485760","592445","5,65","2","23","350","87","95"
"05.11.2015 05:35:00","4","0","219","2,28","10485760","586154","5,59","0","14","350","3","2"
"05.11.2015 05:40:00","4","0","242","2,52","10485760","418382","3,99","0","15","350","15","16"
"05.11.2015 05:45:00","4","0","219","2,28","10485760","334496","3,19","0","13","350","3","2"
"05.11.2015 05:50:00","4","0","220","2,29","10485760","271581","2,59","0","13","350","3","2"
"05.11.2015 05:55:00","4","0","218","2,27","10485760","355467","3,39","0","14","350","3","2"
"05.11.2015 06:00:00","4","0","337","3,51","10485760","502268","4,79","0","18","350","46","48"
"05.11.2015 06:05:00","4","0","324","3,38","10485760","536871","5,12","0","18","350","42","45"
"05.11.2015 06:10:00","4","0","262","2,73","10485760","445645","4,25","0","15","350","15","16"
"05.11.2015 06:15:00","4","0","241","2,51","10485760","460325","4,39","0","14","350","3","2"
"05.11.2015 06:20:00","4","0","237","2,47","10485760","494928","4,72","0","14","350","3","2"
"05.11.2015 06:25:00","4","0","239","2,49","10485760","502268","4,79","0","15","350","3","2"
"05.11.2015 06:30:00","4","0","240","2,5","10485760","418382","3,99","0","13","350","3","2"
