Dataset,Method,Data_Size,Min_MAPE,Min_MAE,Min_MSE
./local_only.csv,random,10,24.721853256225586,0.016536012291908264,0.0004530125006567687
./local_only.csv,random,20,24.335121154785156,0.01682846061885357,0.0004635981749743223
./local_only.csv,random,50,24.15988540649414,0.016939783468842506,0.00046858377754688263
./local_only.csv,random,100,23.604604721069336,0.01703583635389805,0.00047176744556054473
./local_only.csv,random,200,23.490489959716797,0.016433466225862503,0.00045993237290531397
./local_only.csv,random,300,22.633522033691406,0.016711898148059845,0.0004601925902534276
./local_only.csv,random,400,22.541966247558594,0.01650293916463852,0.00046333763748407364
./local_only.csv,random,500,22.2890488052368164,0.016671761870384216,0.0004544166149571538
./local_only.csv,GridSearch,10,34.47820281982422,0.0598091222345829,0.004029370844364166
./local_only.csv,GridSearch,20,28.86821365356445,0.03960353881120682,0.0019505817908793688
./local_only.csv,GridSearch,50,24.54674530029297,0.020170098170638084,0.00064728909637779
./local_only.csv,GridSearch,100,24.0966854095459,0.01644645258784294,0.00044825123040936887
./local_only.csv,GridSearch,200,23.43341636657715,0.01648338884115219,0.00044805777724832296
./local_only.csv,GridSearch,300,23.215856552124023,0.016573483124375343,0.000452826963737607
./local_only.csv,GridSearch,400,22.368614196777344,0.016763122752308846,0.00046350035700015724
./local_only.csv,GridSearch,500,22.283864974975586,0.016682935878634453,0.00046215628390200436
./local_only.csv,tpe,10,26.147993087768555,0.016743294894695282,0.0004559924709610641
./local_only.csv,tpe,20,24.98843002319336,0.01700938493013382,0.00047295456170104444
./local_only.csv,tpe,50,24.189647674560547,0.01659495383501053,0.00045165111077949405
./local_only.csv,tpe,100,23.986557006835938,0.01660565845668316,0.00045566848712041974
./local_only.csv,tpe,200,23.422700881958008,0.016422845423221588,0.00045613854308612645
./local_only.csv,tpe,300,22.969379425048828,0.016504783183336258,0.0004547002026811242
./local_only.csv,tpe,400,22.811067581176758,0.016352541744709015,0.0004527774581220001
./local_only.csv,tpe,500,22.068288192749023,0.016631435602903366,0.0004532455641310662
./local_only.csv,anneal,10,26.25728988647461,0.016943812370300293,0.00047145315329544246
./local_only.csv,anneal,20,25.363998413085938,0.01653151586651802,0.0004515489563345909
./local_only.csv,anneal,50,24.2421932220459,0.01674659550189972,0.0004561652895063162
./local_only.csv,anneal,100,24.182279586791992,0.016851235181093216,0.00047658770927228034
./local_only.csv,anneal,200,23.530935287475586,0.016238270327448845,0.0004464362282305956
./local_only.csv,anneal,300,23.227827072143555,0.016433756798505783,0.0004463999066501856
./local_only.csv,anneal,400,22.797204971313477,0.01652095839381218,0.00045339419739320874
./local_only.csv,anneal,500,22.229601821899414,0.016672717407345772,0.00046290745376609266
./local_only.csv,evolution,10,25.962839126586914,0.018392939120531082,0.0005553703522309661
./local_only.csv,evolution,20,25.25741195678711,0.01723489537835121,0.0004820862377528101
./local_only.csv,evolution,50,25.282386779785156,0.01681775040924549,0.00046269912854768336
./local_only.csv,evolution,100,24.294178009033203,0.016647450625896454,0.00045623985351994634
./local_only.csv,evolution,200,23.62976837158203,0.0165104977786541,0.00045600655721500516
./local_only.csv,evolution,300,23.925952911376953,0.016472531482577324,0.0004519482608884573
./local_only.csv,evolution,400,22.893526077270508,0.01614578254520893,0.0004404127539601177
./local_only.csv,evolution,500,22.2267855834960938,0.016766423359513283,0.0004566288262140006
./tt_only.csv,random,10,32.647512435913086,0.017014598473906517,0.00047620851546525955
./tt_only.csv,random,20,31.400774002075195,0.016797421500086784,0.00046497315634042025
./tt_only.csv,random,50,28.23,,
./tt_only.csv,random,100,24.42,,
./tt_only.csv,random,200,23.21,,
./tt_only.csv,random,300,22.9,,
./tt_only.csv,random,400,22.41,,
./tt_only.csv,random,500,22.28,,
./tt_only.csv,GridSearch,10,35.77941131591797,0.059233907610177994,0.003956817556172609
./tt_only.csv,GridSearch,20,33.12,,
./tt_only.csv,GridSearch,50,29.32,,
./tt_only.csv,GridSearch,100,27.88,,
./tt_only.csv,GridSearch,200,28.183,,
./tt_only.csv,GridSearch,300,26.301,,
./tt_only.csv,GridSearch,400,25.92,,
./tt_only.csv,GridSearch,500,25.77,,
./tt_only.csv,tpe,10,26.32745361328125,0.016850115731358528,0.0004677564720623195
./tt_only.csv,tpe,20,25.696334838867188,0.017413903027772903,0.0004966972628608346
./tt_only.csv,tpe,50,25.32,,
./tt_only.csv,tpe,100,24.11,,
./tt_only.csv,tpe,200,23.33,,
./tt_only.csv,tpe,300,22.76,,
./tt_only.csv,tpe,400,22.54,,
./tt_only.csv,tpe,500,22.72,,
./tt_only.csv,anneal,10,26.90829086303711,0.016932422295212746,0.00047036795876920223
./tt_only.csv,anneal,20,25.66,,
./tt_only.csv,anneal,50,25.31,,
./tt_only.csv,anneal,100,24.33,,
./tt_only.csv,anneal,200,23.74,,
./tt_only.csv,anneal,300,22.93,,
./tt_only.csv,anneal,400,22.15,,
./tt_only.csv,anneal,500,22.12,,
./tt_only.csv,evolution,10,25.090478897094727,0.016968833282589912,0.00047009208356030285
./tt_only.csv,evolution,20,25.7,,
./tt_only.csv,evolution,50,25.23,,
./tt_only.csv,evolution,100,25.02,,
./tt_only.csv,evolution,200,24.331,,
./tt_only.csv,evolution,300,23.873,,
./tt_only.csv,evolution,400,23.55,,
./tt_only.csv,evolution,500,23.44,,
./local_plus_tt.csv,random,10,24.384790420532227,0.016733922064304352,0.0004583406844176352
./local_plus_tt.csv,random,20,23.280942916870117,0.016744539141654968,0.0004585656861308962
./local_plus_tt.csv,random,50,22.9,,
./local_plus_tt.csv,random,100,22.7,,
./local_plus_tt.csv,random,200,21.34,,
./local_plus_tt.csv,random,300,20.05,,
./local_plus_tt.csv,random,400,19.44,,
./local_plus_tt.csv,random,500,19.33,,
./local_plus_tt.csv,GridSearch,10,24.41915893554688,0.05969442427158356,0.004011283628642559
./local_plus_tt.csv,GridSearch,20,24.48881912231445,0.0375378392636776,0.0017801090143620968
./local_plus_tt.csv,GridSearch,50,23.9,,
./local_plus_tt.csv,GridSearch,100,23.67,,
./local_plus_tt.csv,GridSearch,200,21.9,,
./local_plus_tt.csv,GridSearch,300,21.12,,
./local_plus_tt.csv,GridSearch,400,20.21,,
./local_plus_tt.csv,GridSearch,500,20.18,,
./local_plus_tt.csv,tpe,10,23.23834800720215,0.01644543930888176,0.00045380613300949335
./local_plus_tt.csv,tpe,20,23.113258361816406,0.016617441549897194,0.00046624738024547696
./local_plus_tt.csv,tpe,50,22.93,,
./local_plus_tt.csv,tpe,100,21.63,,
./local_plus_tt.csv,tpe,200,21.24,,
./local_plus_tt.csv,tpe,300,20.78,,
./local_plus_tt.csv,tpe,400,20.22,,
./local_plus_tt.csv,tpe,500,19.42,,
./local_plus_tt.csv,anneal,10,23.511302947998047,0.01676921546459198,0.00045861818944104016
./local_plus_tt.csv,anneal,20,23.312175750732422,0.016818081960082054,0.00046328158350661397
./local_plus_tt.csv,anneal,50,23.02,,
./local_plus_tt.csv,anneal,100,21.82,,
./local_plus_tt.csv,anneal,200,20.39,,
./local_plus_tt.csv,anneal,300,19.87,,
./local_plus_tt.csv,anneal,400,19.21,,
./local_plus_tt.csv,anneal,500,19.04,,
./local_plus_tt.csv,evolution,10,23.5278263092041,0.017107481136918068,0.00046457338612526655
./local_plus_tt.csv,evolution,20,23.463781356811523,0.016657397150993347,0.0004572846810333431
./local_plus_tt.csv,evolution,50,22.9,,
./local_plus_tt.csv,evolution,100,21.93,,
./local_plus_tt.csv,evolution,200,20.62,,
./local_plus_tt.csv,evolution,300,20.12,,
./local_plus_tt.csv,evolution,400,19.32,,
./local_plus_tt.csv,evolution,500,19.12,,
./mat_only.csv,random,10,27.718975067138672,0.019709734246134758,0.000630896829534322
./mat_only.csv,random,20,27.423357009887695,0.017211781814694405,0.00048005825374275446
./mat_only.csv,random,50,27.39406967163086,0.01815606653690338,0.0005427350988611579
./mat_only.csv,random,100,26.817705154418945,0.017552450299263,0.0005050565814599395
./mat_only.csv,random,200,25.286104202270508,0.016752688214182854,0.00045630961540155113
./mat_only.csv,random,300,24.60457992553711,0.018448058515787125,0.0005583856254816055
./mat_only.csv,random,400,23.957735061645508,0.016999805346131325,0.00046635587932541966
./mat_only.csv,random,500,23.219482421875,0.01664411835372448,0.00045726465759798884
./mat_only.csv,GridSearch,10,40.19993591308594,0.046703990548849106,0.002596578560769558
./mat_only.csv,GridSearch,20,38.78599548339844,0.04214641451835632,0.0021716905757784843
./mat_only.csv,GridSearch,50,38.614543914794922,0.021474303677678108,0.0007186701404862106
./mat_only.csv,GridSearch,100,37.32073974609375,0.023327989503741264,0.0008197948336601257
./mat_only.csv,GridSearch,200,33.14813995361328,0.01659073308110237,0.00045087988837622106
./mat_only.csv,GridSearch,300,32.48789978027344,0.020276769995689392,0.0006634871824644506
./mat_only.csv,GridSearch,400,34.99786949157715,0.02019917219877243,0.0006449936190620065
./mat_only.csv,GridSearch,500,34.026505279541016,0.02059180662035942,0.0006691305316053331
./mat_only.csv,tpe,10,29.244863510131836,0.016772249713540077,0.0004598060913849622
./mat_only.csv,tpe,20,27.53786849975586,0.016602229326963425,0.0004529749567154795
./mat_only.csv,tpe,50,26.236865997314453,0.017293531447649002,0.0004866724484600127
./mat_only.csv,tpe,100,25.484922409057617,0.016959374770522118,0.0004746972117573023
./mat_only.csv,tpe,200,24.958911895751953,0.017064156010746956,0.0004742430173791945
./mat_only.csv,tpe,300,24.473344802856445,0.016861071810126305,0.0004710871435236186
./mat_only.csv,tpe,400,23.444679260253906,0.017185861244797707,0.0004779853916261345
./mat_only.csv,tpe,500,23.2236270904541,0.017331400886178017,0.00049344461876899
./mat_only.csv,anneal,10,27.510255813598633,0.01705906167626381,0.0004810306418221444
./mat_only.csv,anneal,20,27.497079849243164,0.016902051866054535,0.0004683489096350968
./mat_only.csv,anneal,50,26.462862014770508,0.019775578752160072,0.0006450183573178947
./mat_only.csv,anneal,100,25.275617599487305,0.016797751188278198,0.00046043310430832207
./mat_only.csv,anneal,200,24.373023986816406,0.018229469656944275,0.0005382837844081223
./mat_only.csv,anneal,300,24.28000259399414,0.016870522871613503,0.000468910118797794
./mat_only.csv,anneal,400,23.584115982055664,0.016695603728294373,0.00047072689631022513
./mat_only.csv,anneal,500,23.2585981369018555,0.017009412869811058,0.0004756273701786995
./mat_only.csv,evolution,10,28.246814727783203,0.01764637976884842,0.0005106381140649319
./mat_only.csv,evolution,20,27.979347229003906,0.01739986427128315,0.0004850382683798671
./mat_only.csv,evolution,50,27.252891540527344,0.016856076195836067,0.0004668176406994462
./mat_only.csv,evolution,100,26.306272506713867,0.016725869849324226,0.0004558515502139926
./mat_only.csv,evolution,200,25.850740432739258,0.016872039064764977,0.00045987835619598627
./mat_only.csv,evolution,300,25.2066650390625,0.01651351898908615,0.00046870604273863137
./mat_only.csv,evolution,400,25.028898239135742,0.01714223064482212,0.0004835129657294601
./mat_only.csv,evolution,500,24.6927375030517578,0.01814601942896843,0.0005421494715847075
./ali_only.csv,random,10,34.253646850585938,0.017629284411668777,0.0005133048980496824
./ali_only.csv,random,20,33.302932739257812,0.01925366185605526,0.0006110196700319648
./ali_only.csv,random,50,31.99468994140625,0.024004636332392693,0.0008654763805679977
./ali_only.csv,random,100,28.026330947875977,0.017135875299572945,0.0004826285585295409
./ali_only.csv,random,200,26.498029708862305,0.018433263525366783,0.0005541752907447517
./ali_only.csv,random,300,25.0566463470459,0.025502825155854225,0.0010609463788568974
./ali_only.csv,random,400,25.29962730407715,0.0197865292429924,0.000629439193289727
./ali_only.csv,random,500,32.069756622314453,0.018971769139170647,0.0005882927216589451
./ali_only.csv,GridSearch,10,60.88026428222656,0.053009968250989914,0.0032490254379808903
./ali_only.csv,GridSearch,20,47.25376892089844,0.04169408231973648,0.0021321126259863377
./ali_only.csv,GridSearch,50,53.753217697143555,0.016313448548316956,0.0004470118146855384
./ali_only.csv,GridSearch,100,51.025924682617188,0.016794094815850258,0.0004616664082277566
./ali_only.csv,GridSearch,200,44.255760192871094,0.016490869224071503,0.00044902056106366217
./ali_only.csv,GridSearch,300,34.643938064575195,0.018579106777906418,0.0005762999062426388
./ali_only.csv,GridSearch,400,55.00041961669922,0.08355922996997833,0.007429254241287708
./ali_only.csv,GridSearch,500,54.5083822631836,0.06721081584692001,0.004956730175763369
./ali_only.csv,tpe,10,39.08427047729492,0.025018740445375443,0.0009554944117553532
./ali_only.csv,tpe,20,36.14341735839844,0.02460911124944687,0.0012127625523135066
./ali_only.csv,tpe,50,29.90387535095215,0.01706048846244812,0.0004726398328784853
./ali_only.csv,tpe,100,27.700082778930664,0.016475845128297806,0.0004539721121545881
./ali_only.csv,tpe,200,24.36496353149414,0.017774133011698723,0.0005232985131442547
./ali_only.csv,tpe,300,24.532596588134766,0.027664514258503914,0.0010814565466716886
./ali_only.csv,tpe,400,23.791555404663086,0.016906721517443657,0.000461387331597507
./ali_only.csv,tpe,500,23.306652755737305,0.024090077728033066,0.0008978652767837048
./ali_only.csv,anneal,10,34.336240768432617,0.018500344827771187,0.0005580451688729227
./ali_only.csv,anneal,20,33.706933975219727,0.017702532932162285,0.0005118062836118042
./ali_only.csv,anneal,50,32.299846649169922,0.016973748803138733,0.00047491613076999784
./ali_only.csv,anneal,100,24.205249786376953,0.016604596748948097,0.0004691053181886673
./ali_only.csv,anneal,200,23.084253311157227,0.01659536547958851,0.00045599666191264987
./ali_only.csv,anneal,300,24.38457679748535,0.016930915415287018,0.0004692371585406363
./ali_only.csv,anneal,400,23.270244598388672,0.017565015703439713,0.0005035872454755008
./ali_only.csv,anneal,500,22.2175719833374023,0.01776551641523838,0.0005107747856527567
./ali_only.csv,evolution,10,35.334501266479492,0.018564822152256966,0.0005677943699993193
./ali_only.csv,evolution,20,33.585132598876953,0.017241401597857475,0.0004912317381240427
./ali_only.csv,evolution,50,31.461692810058594,0.01917428895831108,0.0005901847616769373
./ali_only.csv,evolution,100,28.346338272094727,0.020521992817521095,0.0007010752451606095
./ali_only.csv,evolution,200,27.825807571411133,0.017803989350795746,0.0005243885098025203
./ali_only.csv,evolution,300,26.977685928344727,0.02675800584256649,0.0010485227685421705
./ali_only.csv,evolution,400,24.972923278808594,0.023855406790971756,0.0008544246084056795
